Controlled Vocabularies,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
organizationName,,,,,,,,,,,,,,
Source: GC Registry of Applied Terms : http://www.tbs-sct.gc.ca/fip-pcim/reg-eng.asp,,,,,,,,,,,,,,
Source URL: http://www.tbs-sct.gc.ca/fip-pcim/reg-eng.asp,,,,,,,,,,,,,,
"Note: Used 'Applied Title' where applicable, if no 'Applied Title' use 'Legal Title'",,,,,,,,,,,,,,
Controlled Vocabulary,,,,,,,,,,,,,,
English,English Abbr.,English Alternate Name,English Homepage,French,French Abbr.,French Site Name,French Homepage,Department Identifier,Phone Number,Fax,Email,English Address,French Address,
Human Rights Tribunal of Canada,HRTC,Canadian Human Rights Tribunal,http://www.chrt-tcdp.gc.ca/NS/index-eng.asp,Tribunal des droits de la personne du Canada,TDPC,Tribunal canadien des droits de la personne,Tribunal canadien des droits de la personne,164,613-947-1140,613-995-3484,Bernard.Fournier@chrt-tcdp.gc.ca,"Bernard Fournier
 Access to Information and Privacy Coordinator
 160 Elgin Street, 11A-24
 Ottawa, Ontario  K1A 1J4","Bernard Fournier
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 160, rue Elgin, 11A-24
 Ottawa, (Ontario)  K1A 1J4",
Immigration and Refugee Board of Canada,IRB,Immigration and Refugee Board of Canada,http://www.irb-cisr.gc.ca/eng/Pages/index.aspx,Commission de l'immigration et du statut de réfugié du Canada,CISR,Commission de l'immigration et du statut de réfugié du Canada,http://www.irb-cisr.gc.ca/Fra/Pages/index.aspx,5,613-995-3514,613-996-9305,eric.villemaire@irb-cisr.gc.ca,"Eric Villemaire
 Access to Information and Privacy Coordinator
 344 Slater Street, 14th Floor
 Ottawa, Ontario  K1A 0K1","Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 344, rue Slater, 14e étage
 Ottawa, (Ontario)  K1A 0K1",
Indian Residential Schools Truth and Reconciliation Commission,IRSTRC,,http://www.trc.ca/websites/trcinstitution/index.php?p=3,Commission de vérité et de réconciliation relative aux pensionnats indiens,CVRRPI,,http://www.trc.ca/websites/trcinstitution/index.php?p=15,245,819-934-7143,819-953-5492,Joanne.Quenneville@ainc-inac.gc.ca,"Joanne Quenneville
 Access to Information and Privacy Coordinator
 Les Terrasses de la Chaudière
 10 Wellington Street, Room 517
 Gatineau, Quebec  K1A 0H4","Joanne Quenneville
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Les Terrasses de la Chaudière
 10, rue Wellington, pièce 517
 Gatineau, (Québec)  K1A 0H4",
International Development Research Centre,IDRC,,http://www.idrc.ca/EN/Pages/default.aspx,Centre de recherches pour le développement international,CRDI,,http://www.idrc.ca/FR/Pages/default.aspx,280,613-696-2199,613-235-6391,yhenry@idrc.ca,"Yolande Henry
 Access to Information and Privacy Coordinator
 150 Kent Street 
P.O. Box 8500
 Ottawa, Ontario  K1P 0B2","Yolande Henry
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 150, rue Kent 
C.P. 8500
 Ottawa, (Ontario)  K1P 0B2",
Industry Canada,IC,Industry Canada,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/home,Industrie Canada,IC,Industrie Canada,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/accueil,230,613-952-5766,613-941-3085,Kimberly.Eadie@ic.gc.ca,"Kimberly Eadie
 Access to Information and Privacy Coordinator
 West Tower
 235 Queen Street, 2th Floor
 Ottawa, Ontario  K1A 0H5","Kimberly Eadie
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Tour Ouest
 235, rue Queen, 2e étage
 Ottawa, (Ontario)  K1A 0H5",
Infrastructure Canada,INFC,Infrastructure Canada,http://www.infrastructure.gc.ca/index-eng.html,Infrastructure Canada,INFC,Infrastructure Canada,http://www.infrastructure.gc.ca/index-fra.html,278,613-960-6136,613-948-9393,sylvie.plourde@infc.gc.ca,"Sylvie Plourde
 Access to Information and Privacy Coordinator
 180 Kent Street, 11th Floor
 Ottawa, Ontario  K1P 0B6","Sylvie Plourde
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 180, rue Kent, 11ième étage
 Ottawa, (Ontario)  K1P 0B6",
Jacques Cartier and Champlain Bridges Incorporated,JCCBI,,http://jccbi.ca/,Les Ponts Jacques-Cartier et Champlain Incorporée,PJCCI,,http://pjcci.ca/,55559,450-651-8771  Ext.229,450-651-3249,slefebvre@pjcci.ca,"Sylvie Lefebvre
 Access to Information and Privacy Coordinator
 West Tower
 1111 St-Charles Street West, Suite 600
 Longueuil, Quebec  J4K 5G4","Sylvie Lefebvre
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Tour Ouest
 1111, rue St-Charles Ouest, bureau 600
 Longueuil, (Québec)  J4K 5G4",
Laurentian Pilotage Authority Canada,LPA,Laurentian Pilotage Authority Canada,http://www.pilotagestlaurent.gc.ca/homePage_e.asp,Administration de pilotage des Laurentides Canada,APL,Administration de pilotage des Laurentides Canada,http://www.pilotagestlaurent.gc.ca/homePage_f.asp,213,514-283-6320  Ext.212,514-496-2409,claude.lambert@apl.gc.ca,"Claude Lambert
 Access to Information and Privacy Coordinator
 555 René-Lévesque Blvd West, Suite 1501
 Montreal, Quebec  H2Z 1B1","Claude Lambert
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 555, boul. René-Lévesque Ouest, Bureau 1501
 Montreal, (Québec)  H2Z 1B1",
Law Commission of Canada,,,,Commission du droit du Canada,,,,231,#N/A,#N/A,#N/A,#N/A,#N/A,
Library and Archives Canada,LAC,Library and Archives Canada,http://www.collectionscanada.gc.ca/index-e.html,Bibliothèque et Archives Canada,BAC,Bibliothèque et Archives Canada,http://www.collectionscanada.gc.ca/index-f.html,129,613-947-3888,613-992-9350,blair.isaac@bac-lac.gc.ca,"Blair Isaac
 Access to Information and Privacy Coordinator
 395 Wellington Street, Room 350
 Ottawa, Ontario  K1A 0N4","Blair Isaac
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 395, rue Wellington, pièce 350
 Ottawa, (Ontario)  K1A 0N4",
Library of Parliament,LP,,,Bibliothèque du Parlement ,BP,,,55558,#N/A,#N/A,#N/A,#N/A,#N/A,
Marine Atlantic Inc.,MAI,Marine Atlantic Inc,http://www.marineatlantic.ca/index.asp,Marine Atlantique S.C.C.,MAI,Marine Atlantique,http://www.marineatlantic.ca/index.asp,238,709-772-9007,709-772-8956,jpenney@marine-atlantic.ca,"Jacqueline Penney
 Access to Information and Privacy Coordinator
 Baine Johnston Centre
 10 Fort William Place, Suite 302
 St. John's, Newfoundland and Labrador  A1C 1K4","Jacqueline Penney
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Centre Baine-Johnston
 10, Place Fort William, bureau 302
 St. John's, (Terre-Neuve et Labrador)  A1C 1K4",
Military Police Complaints Commission of Canada,MPCC,Military Police Complaints Commission,http://www.mpcc-cppm.gc.ca/index-eng.aspx,Commission d'examen des plaintes concernant la police militaire du Canada,CPPM,Commission d’examen des plaintes concernant la police militaire,http://www.mpcc-cppm.gc.ca/index-fra.aspx,66,613-947-5704,613-947-5713,sylvain.roy@mpcc-cppm.gc.ca,"Sylvain Roy
 Access to Information and Privacy Coordinator
 270 Albert, 10th Floor
 Ottawa, Ontario  K1P 5G8","Sylvain Roy
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 270, rue Albert, 10e étage
 Ottawa, (Ontario)  K1P 5G8",
Montreal Port Authority,MPA,Old Port of Montreal Corporation,http://www.port-montreal.com/en/index.html,Administration portuaire de Montréal,APM,Société du Vieux-Port de Montréal,http://www.port-montreal.com/fr/index.html,74,514-496-8123,514-283-1858,wellsv@port-montreal.com,"Valérie Wells
 Access to Information and Privacy Coordinator
 Port of Montreal Building, Cité du Havre
 2100 Pierre Dupuy Avenue, Wing N0. 1
 Montreal, Quebec  H3C 3R5","Valérie Wells
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 Édifice du port de Montréal, Cité du Havre
 2100, avenue Pierre Dupuy, Aile no. 1
 Montreal, (Québec)  H3C 3R5",
Nanaimo Port Authority,NNPA,,http://www.npa.ca/index.php?lang=en,Administration portuaire de Nanaïmo,APN,,http://www.npa.ca/index.php?lang=fr,104,250-753-4146,250-753-4899,bdumas@npa.ca,"Bernie Dumas
 Access to Information and Privacy Coordinator
 104 Front Street 
P.O. Box 131
 Nanaimo, British Columbia  V9R 5K4","Bernie Dumas
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 104, rue Front
 C.P. 131
 Nanaimo, (Colombie-Britannique)  V9R 5K4",
National Arts Centre,NAC,,http://nac-cna.ca/,Centre national des Arts,CNA,,http://nac-cna.ca/fr/,91,613-947-7000  Ext.560,613-996-9578,cmartin@nac-cna.ca,"Carl Martin
 Access to Information and Privacy Coordinator 
53 Elgin Street
 P.O. Box 1534, Station B
 Ottawa, Ontario  K1P 5W1","Coordonnateur de l'accès à l'information et de la protection des renseignements personnels 
53, rue Elgin
 C.P. 1534, succursale B
 Ottawa, (Ontario)  K1P 5W1",
National Capital Commission,NCC,National Capital Commission,http://www.ncc-ccn.gc.ca/,Commission de la capitale nationale,CCN,Commission de la capitale nationale,http://www.ccn-ncc.gc.ca/,22,613-239-5198,613-239-5198,judy.benvie@ncc-ccn.ca,"Judy Benvie
 Access to Information and Privacy Coordinator
 40 Elgin Street, Room 202
 Ottawa, Ontario  K1P 1C7","Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 40, rue Elgin, pièce 202
 Ottawa, (Ontario)  K1P 1C7",
National Defence,DND,National Defence and the Canadian Forces,http://www.forces.gc.ca/en/,Défense nationale,MDN,Défense nationale et les Forces canadiennes,http://www.forces.gc.ca/fr/index.page?,32,613-992-0996,613-995-5777,jansen.j@forces.gc.ca,"Julie Jansen
 Access to Information and Privacy Coordinator
 North Tower
 101 Colonel By Drive, 8th Floor
 Ottawa, Ontario  K1A 0K2","Julie Jansen
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 Tour Nord
 101, promenade Colonel By, 8e étage
 Ottawa, (Ontario)  K1A 0K2",
National Energy Board,NEB,National Energy Board,http://www.neb-one.gc.ca/clf-nsi/rcmmn/hm-eng.html,Office national de l'énergie,ONE,Office national de l'énergie,http://www.neb-one.gc.ca/clf-nsi/rcmmn/hm-fra.html,239,403-221-3496,403-292-5503,sheri.young@neb-one.gc.ca,"Sheri Young
 Access to Information and Privacy Coordinator
 444 Seventh Avenue South West
 Calgary, Alberta  T2P 0X8","Sheri Young
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 444, 7e Avenue sud-ouest
 Calgary, (Alberta)  T2P 0X8",
National Film Board,NFB,National Film Board of Canada,http://www.nfb.ca/,Office national du film,ONF,Office national du film du Canada,http://www.onf.ca/?__utma=210353930.669026394.1385061618.1385061618.1385061618.1&__utmb=210353930.1.10.1385061618&__utmc=210353930&__utmx=-&__utmz=210353930.1385061618.1.1.utmcsr=google|utmccn=(organic)|utmcmd=organic|utmctr=(not%20provided)&__utmv=210353930.|1=Anonymous=Anonymous=1&__utmk=247123399,167,514-283-9353,514-496-1646,p.kallianiotis@onf.ca,"Peter Kallianiotis
 Access to Information and Privacy Coordinator
 3155 Côte-de-Liesse Road
 St-Laurent, Quebec  H4N 2N4","Peter Kallianiotis
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 3155, chemin de la Côte-de-Liesse
 St-Laurent, (Québec)  H4N 2N4",
National Gallery of Canada,NGC,National Gallery of Canada,http://www.gallery.ca/en/,Musée des beaux-arts du Canada,MBAC,Musée des beaux-arts du Canada,http://www.beaux-arts.ca/fr/index.php?__utma=201903438.304370838.1385134796.1385134796.1385134796.1&__utmb=201903438.1.10.1385134796&__utmc=201903438&__utmx=-&__utmz=201903438.1385134796.1.1.utmcsr=google|utmccn=(organic)|utmcmd=organic|utmctr=(not%20provided)&__utmv=-&__utmk=58421417,59,613-990-7513,613-993-9163,jpeckham@gallery.ca,"Julie Peckham
 Access to Information and Privacy Coordinator
 380 Sussex Drive
 P.O. Box 427, Station A
 Ottawa, Ontario  K1N 9N4","Julie Peckham
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 380, avenue Sussex
 C.P. 427, succursale A
 Ottawa, (Ontario)  K1N 9N4",
National Research Council Canada,NRC,National Research Council Canada,http://www.nrc-cnrc.gc.ca/eng/,Conseil national de recherches Canada,CNRC,Conseil national de recherches Canada,http://www.nrc-cnrc.gc.ca/fra/index.html,172,613-993-1906,613-991-0398,ATIP-AIPRP@nrc-cnrc.gc.ca,"Dick Bourgeois-Doyle
 Access to Information and Privacy Coordinator
 Building M-58
 1200 Montreal Road, Room W-324
 Ottawa, Ontario  K1A 0R6","Dick Bourgeois-Doyle
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Édifice M-58
 1200, chemin Montréal, bureau W-324
 Ottawa, (Ontario)  K1A 0R6",
National Round Table on the Environment and the Economy,NRTEE,National Roundtable on the Environment and the Economy,,Table ronde nationale sur l'environnement et l'économie,TRNEE,Table ronde nationale sur l'environnement et l'économie,,100,819-953-2743,819-953-0749,nancy.hamzawi@ec.gc.ca,"Nancy Hamzawi
 Access to Information and Privacy Coordinator
 Les Terrasses de la Chaudiere
 10 Wellington Street, 27th Floor
 Gatineau, Quebec  K1A 0H3","Nancy Hamzawi
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Les Terrasses de la Chaudiere
 10 rue Wellington, 27ième plancher
 Gatineau, (Québec)  K1A 0H3",
Natural Resources Canada,NRCan,Natural Resources Canada,http://www.nrcan.gc.ca/home,Ressources naturelles Canada,RNCan,Ressources naturelles Canada,http://www.rncan.gc.ca/accueil,115,613-995-1305,613-995-0693,Charles.Taillefer@NRCan-RNCan.gc.ca,"Charles Taillefer
 Director, ATIP
 580 Booth Street, 11th Floor
 Ottawa, Ontario  K1A 0E4","Charles Taillefer
 Directeur de l’accès à l’information et de la protection des renseignements personnels
 580 rue Booth, 11e étage
 Ottawa, (Ontario)  K1A 0E4",
Northern Pipeline Agency Canada,NPA,Northern Pipeline Agency,http://npa.gc.ca/home,Administration du pipe-line du Nord Canada,APN,Administration du pipe-line du Nord,http://apn.gc.ca/accueil,10,613-995-1305,613-995-0693,Charles.Taillefer@NRCan-RNCan.gc.ca,"Charles Taillefer
 Access to Information and Privacy Coordinator
 580 Booth Street, 11th Floor
 Ottawa, Ontario  K1A 0E4","Charles Taillefer
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 580, rue Booth, 11e étage
 Ottawa, (Ontario)  K1A 0E4",
Office of the Administrator of the Ship Source Oil Pollution Fund,SSOPFUND,,http://www.ssopfund.gc.ca/english/,Caisse d'indemnisation des dommages dus à la pollution par les hydrocarbures cause par les navires,CIDPHN,,http://www.ssopfund.gc.ca/francais/index.asp?,,,,,,,
Office of the Auditor General of Canada,OAG,Office of the Auditor General of Canada,http://www.oag-bvg.gc.ca/internet/English/admin_e_41.html,Bureau du vérificateur général du Canada,BVG,Bureau du vérificateur général du Canada,http://www.oag-bvg.gc.ca/internet/Francais/admin_f_41.html,125,613-952-0213  Ext.6455,613-954-0441,robert.mcneil@oag-bvg.gc.ca,"Robert McNeil 
Access to Information and Privacy Coordinator
 240 Sparks Street
 Ottawa, Ontario  K1A 0G6","Robert McNeil 
Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 240, rue Sparks
 Ottawa, (Ontario)  K1A 0G6",
Elections Canada,elections,Elections Canada,http://www.elections.ca/home.aspx,Élections Canada,elections,Bureau du directeur général des élections (Élections Canada),http://www.elections.ca/accueil.aspx,285,613-991-2763,613-998-8193,AndreeMarie.Delisle@elections.ca,"Access to Information and Privacy Coordinator
 257 Slater Street
 Ottawa, Ontario  K1A 0M6","Andrée-Marie Delisle
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 257, rue Slater
 Ottawa, (Ontario)  K1A 0M6",
Office of the Commissioner for Federal Judicial Affairs Canada,FJA,,http://www.fja-cmf.gc.ca/home-accueil/index-eng.html,Commissariat à la magistrature fédérale Canada,CMF,,http://www.fja-cmf.gc.ca/home-accueil/index-fra.html,140,#N/A,#N/A,#N/A,#N/A,#N/A,
Office of the Commissioner of Lobbying of Canada,OCL,Office of the Commissioner of Lobbying of Canada,http://ocl-cal.gc.ca/eic/site/012.nsf/eng/home,Commissariat au lobbying du Canada,CAL,Commissariat au lobbying du Canada,http://ocl-cal.gc.ca/eic/site/012.nsf/fra/accueil,205,613-952-4250,613-957-3078,rene.leblanc@ocl-cal.gc.ca,"René Leblanc
 Access to Information and Privacy Coordinator
 255 Albert Street, 10th Floor
 Ottawa, Ontario  K1A 0H5","René Leblanc
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 255, rue Albert, 10e étage
 Ottawa, (Ontario)  K1A 0H5",
Office of the Commissioner of Official Languages,OCOL,Office of the Commissioner of the Official Languages,http://www.ocol-clo.gc.ca/html/index_e.php,Commissariat aux langues officielles,CLO,Commissariat aux langues officielles,http://www.ocol-clo.gc.ca/html/index_f.php,258,613-995-4090,613-993-5082,mathieu.labine@ocol-clo.gc.ca,"Mathieu Labine
 Access to Information and Privacy Coordinator
 344 Slater Street, 3rd Floor
 Ottawa, Ontario  K1A 0T8","Mathieu Labine
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 344, rue Slater, 3e étage
 Ottawa, (Ontario)  K1A 0T8",
Office of the Communications Security Establishment Commissioner,OCSEC,,http://www.ocsec-bccst.gc.ca/index_e.php,Bureau du commissaire du Centre de la sécurité des télécommunications,BCCST,,http://www.ocsec-bccst.gc.ca/index_f.php,279,613-990-8441,613-990-5230,info@sirc-csars.gc.ca,"Sylvie E. Roussel
 Access to Information and Privacy Coordinator
 122 Bank Street, 4th Floor
 P.O. Box 2430, Station D
 Ottawa, Ontario  K1P 5W5","Sylvie E. Roussel
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 122, rue Bank, 4e étage
 C.P. 2430, succursale D
 Ottawa, (Ontario)  K1P 5W5",
Office of the Public Sector Integrity Commissioner of Canada,PSIC,Office of the Public Sector Integrity Commissioner of Canada,http://www.psic-ispc.gc.ca/eng,Commissariat à l'intégrité du secteur public du Canada,ISPC,Commissariat à l'intégrité du secteur public du Canada,http://www.psic-ispc.gc.ca/fra,210,613-946-2142,613-941-6535,duquette.france@psic-ispc.gc.ca,"France Duquette
 Access to Information and Privacy Coordinator
 60 Queen Street, 7th Floor
 Ottawa, Ontario  K1P 5Y7","Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 60, rue Queen, 7e étage
 Ottawa, (Ontario)  K1P 5Y7",
Office of the Secretary to the Governor General,OSGG,,http://www.gg.ca/document.aspx?id=12,Bureau du secrétaire du gouverneur général,BSGG,,http://www.gg.ca/document.aspx?id=12&lan=fra,5557,#N/A,#N/A,#N/A,#N/A,#N/A,
Office of the Superintendent of Financial Institutions Canada,OSFI,Office of the Superintendent of Financial Institutions,http://www.osfi-bsif.gc.ca/Eng/Pages/default.aspx,Bureau du surintendant des institutions financières Canada,BSIF,Bureau du surintendant des institutions financières,http://www.osfi-bsif.gc.ca/Fra/Pages/default.aspx,184,613-990-7495,613-952-5031,luc.morin@osfi-bsif.gc.ca,"Luc Morin
 Access to Information and Privacy Coordinator
 255 Albert Street, 15th Floor
 Ottawa, Ontario   K1A 0H2","Luc Morin
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 255, rue Albert, 15e étage
 Ottawa, (Ontario)   K1A 0H2",
Office of the Information Commissioner of Canada,OIC,Office of the Information Commissioner of Canada,http://www.oic-ci.gc.ca/eng/,Commissariat à l'information du Canada,CI,Commissariat à l'information du Canada,http://www.oic-ci.gc.ca/fra/,41,613-992-5366,613-943-4370,mario.perrier@oic-ci.gc.ca,"Mario Perrier
 Access to Information and Privacy Coordinator
 Place de Ville, Tower B
 112 Kent Street, 4th Floor
 Ottawa, Ontario  K1A 1H3","Mario Perrier
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Place de Ville, tour B
 112, rue Kent, 4e étage
 Ottawa, (Ontario)  K1A 1H3",
National Defence and Canadian Forces Ombudsman,NDCFO,,http://www.ombudsman.forces.gc.ca/en/,Ombudsman de la Défense nationale et des Forces canadiennes,ODNFC,,http://www.ombudsman.forces.gc.ca/fr/index.page?,60000,613-992-0996,613-995-5777,jansen.j@forces.gc.ca,"Julie Jansen
 Access to Information and Privacy Coordinator
 North Tower
 101 Colonel By Drive, 8th Floor
 Ottawa, Ontario  K1A 0K2","Julie Jansen
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 Tour Nord
 101, promenade Colonel By, 8e étage
 Ottawa, (Ontario)  K1A 0K2",
Office of the Privacy Commissioner of Canada,OPC,,http://www.priv.gc.ca/index_e.asp,Commissariats à l’information et à la protection de la vie privée au Canada,CPVP,,http://www.priv.gc.ca/index_f.asp,226,613-995-3503,613-947-6850,andrea.rousseau@priv.gc.ca,"Andréa Rousseau
 Access to Information and Privacy Coordinator
 Place de Ville, Tower B
 112 Kent Street, 3rd Floor
 Ottawa, Ontario  K1A 1H3","Andréa Rousseau
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Place de Ville, tour B
 112, rue Kent, 3e étage
 Ottawa, (Ontario)  K1A 1H3",
Pacific Pilotage Authority Canada,PPA,Pacific Pilotage Authority,http://www.ppa.gc.ca/text/index-e.html,Administration de pilotage du Pacifique Canada,APP,Administration de pilotage du Pacifique Canada,http://www.ppa.gc.ca/text/index-f.html,165,604-666-6771,604-666-1647,chadwick@ppa.gc.ca,"Bruce Chadwick
 Access to Information and Privacy Coordinator
 1130 West Pender Street, Suite 1000
 Vancouver, British Columbia  V6E 4A4","Bruce Chadwick
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 1130, rue Pender Ouest, pièce 1000
 Vancouver, (Colombie-Britannique)  V6E 4A4",
Parks Canada,PC,,http://www.pc.gc.ca/eng/index.aspx,Parcs Canada,PC,,http://www.pc.gc.ca/fra/index.aspx,154,819-994-2001,819-997-9930,diane.maloley@pc.gc.ca,"Diane Maloley
 Access to Information and Privacy Coordinator
 25 Eddy Street, 7th Floor, 25-7-T
 Gatineau, Quebec  K1A 0M5","Diane Maloley
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 25, rue Eddy, 7e étage, 25-7-T
 Gatineau, (Québec)  K1A 0M5",
Parole Board of Canada,PBC,Parole Board of Canada,http://www.pbc-clcc.gc.ca/index-eng.shtml,Commission des libérations conditionnelles du Canada,CLCC,Commission des libérations conditionnelles du Canada,http://www.pbc-clcc.gc.ca/index-fra.shtml,246,613-954-6547,613-957-3241,caroline.douglas@pbc-clcc.gc.ca,"Caroline Douglas
 Access to Information and Privacy Coordinator
 410 Laurier Avenue West, 7th Floor
 Ottawa, Ontario  K1A 0R1","Caroline Douglas
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 410, avenue Laurier Ouest, 7e étage 
Ottawa, (Ontario)  K1A 0R1",
Passport Canada,PPTC,,http://www.ppt.gc.ca/index.aspx,Passeport Canada,PPTC,,http://www.ppt.gc.ca/index.aspx?lang=fra,284,819-934-0157,819-934-7017,ATIP-AIPRP@pptc.gc.ca,"Access to Information and Privacy Manager
 Access to Information and Privacy Manager
 70 Crémazie Street
 Gatineau, Québec  K1A 0G3","Access to Information and Privacy Manager
 Gestionnaire de l’Accès à l’information et protection des renseignements personnels 
70 rue Crémazie
 Gatineau, Québec  K1A 0G3",
Patented Medicine Prices Review Board Canada,PMPRB,Patented Medicine Prices Review Board,http://www.pmprb-cepmb.gc.ca/english/home.asp?x=1,Conseil d'examen du prix des médicaments brevetés Canada,CEPMB,Conseil d'examen du prix des médicaments brevetés,http://www.pmprb-cepmb.gc.ca/francais/home.asp?x=1,15,613-954-8299,613-952-7626,sdupont@pmprb-cepmb.gc.ca,"Sylvie Dupont
 Access to Information and Privacy Coordinator
 Standard Life Centre
 333 Laurier Avenue West, Suite 1400
 P.O. Box L40
 Ottawa, Ontario  K1P 1C1","Sylvie Dupont
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Centre Standard Life
 333, avenue Laurier Ouest, pièce 1400
 C.P. L40
 Ottawa, (Ontario)  K1P 1C1",
Pension Appeals Board,PAB,,http://www.pab-cap.gc.ca/,Commission d'appel des pensions,CAP,,http://www.pab-cap.gc.ca/,286,613-943-1020,613-995-6834,Steve.gauthier@pab-cap.gc.ca,"Steve Gauthier
 Access to Information and Privacy Coordinator
 222 Queen Street, Room 918
 P.O. Box 8567, Station T
 Ottawa, Ontario  K1P 5V9","Steve Gauthier
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 222, rue Queen, Pièce 918
 C.P. 8567, succursale T
 Ottawa, (Ontario)  K1P 5V9",
Pierre Elliott Trudeau Foundation,PETF,,http://www.trudeaufoundation.ca/en,Fondation Pierre Elliott Trudeau,FPET,,http://www.trudeaufoundation.ca/fr,269,514-938-0001  Ext.224,514-938-0046,comtois@fondationtrudeau.ca,"Élise Comtois
 Access to Information and Privacy Coordinator
 1514 Doctor Penfield Avenue, 2nd Floor
 Montreal, Quebec  H3G 1B9","Élise Comtois
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1514, rue Doctor Penfield, 2ieme étage
 Montreal, (Québec)  H3G 1B9",
Port Alberni Port Authority,PAPA,,http://www.portalberniportauthority.ca/en/node/37,Administration portuaire de Port Alberni,APPA,,http://www.portalberniportauthority.ca/fr/node/39,174,250-723-5312,250-723-1114,bfilipchuk@alberniport.ca,"Bianca Filipchuk
 Access to Information and Privacy Coordinator
 2750 Harbour Road
 Port Alberni, British Columbia   V9Y 7X2","Bianca Filipchuk
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 2750, chemin Harbour
 Port Alberni, (Columbia-Britannique)   V9Y 7X2",
Port of Belledune,PB,,http://www.portofbelledune.ca/,Port de Belledune,PB,,http://www.portofbelledune.ca/?lang=1,60001,506-522-1200,506-522-0803,doucett@portofbelledune.ca,"Rayburn Doucett
 Access to Information and Privacy Coordinator
 112 Shannon Drive
 Belledune, New Brunswick  E8G 2W2","Rayburn Doucett
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 112, promenade Shannon
 Belledune, (Nouveau-Brunswick)  E8G 2W2",
Port of Trois-Rivières,PTR,,http://www.porttr.com/en/,Port de Trois-Rivières,PTR,,http://www.porttr.com/,133,819-378-2887  Ext.204,819-378-2487,forcier@porttr.com,"Luc Forcier
 Access to Information and Privacy Coordinator
 1545 du Fleuve Street, Suite 300 
Trois-Rivières, Quebec  G9A 6K4",#N/A,
PPP Canada Inc.,PPP,,http://www.p3canada.ca/home.php,PPP Canada Inc.,PPP,,http://www.p3canada.ca/accueil.php,155,613-947-9472,613-947-2289,atip-aiprp@p3canada.ca,"Carole Paquette
 Access to Information and Privacy Coordinator
 World Exchange Plaza
 100 Queen Street, 6th Floor
 Ottawa, Ontario  K1P 1J9","Carole Paquette
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 World Exchange Plaza
 100, rue Queen, 6e étage
 Ottawa, (Ontario)  K1P 1J9",
Privy Council Office,PCO,,http://www.pco-bcp.gc.ca/index.asp?lang=eng,Bureau du Conseil privé,BCP,,http://www.pco-bcp.gc.ca/index.asp?lang=fra,173,613-957-5211,613-991-4706,awesch@pco-bcp.gc.ca,"Ann Wesch
 Access to Information and Privacy Coordinator
 55 Metcalfe Street, Room 1340
 Ottawa, Ontario  K1A 0A3","Ann Wesch
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 55, rue Metcalfe, pièce 1340
 Ottawa, (Ontario)  K1A 0A3",
